generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_solar_photovoltaic_1,BASN_solar_photovoltaic_1,Solar Photovoltaic,BASN,Solar,2023,16725.0450414776,0.0,0.0,6777.200000000001,0.0,152676761.6,9.128630818115367,0.28171658276800104,,
BASN_ut_natural_gas_fired_combined_cycle_1,BASN_ut_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,BASN,Naturalgas,2023,13552.35228412445,49276352.905076504,5357923.288669739,1905.4,0.0,21437586.805600002,5.21783512029218,0.8119400037437347,,
BASN_ut_natural_gas_fired_combustion_turbine_1,BASN_ut_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,2023,34.112954573200696,231968.09109776467,20062.409869245257,222.9,0.0,2989534.8,94.43634922284313,0.01747047388471081,,
BASN_ut_natural_gas_fired_combustion_turbine_2,BASN_ut_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,BASN,Naturalgas,2023,0.0,0.0,0.0,327.1,0.0,3575530.1,0.0,0.0,,
BASN_ut_natural_gas_internal_combustion_engine_1,BASN_ut_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,BASN,Naturalgas,2023,59.36501574,415198.92008556,33237.82642145475,103.80000000000001,0.0,2491200.0,48.95810914654969,0.06528729146598194,,
BASN_ut_natural_gas_steam_turbine_1,BASN_ut_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,BASN,Naturalgas,2023,0.0,0.0,0.0,237.5,0.0,12184462.5,0.0,0.0,,
CANO_batteries_1,CANO_batteries_1,Batteries,CANO,Electricity,2023,0.0,0.0,0.0,2273.6,0.0,16997433.6,0.0,0.0,0.0,0.0
CANO_biomass_1,CANO_biomass_1,Biomass,CANO,Waste_biomass,2023,1374.80379063264,9468273.70608699,0.0,465.69999999999993,0.0,73217354.0,60.14358432052166,0.337,,
CANO_biomass_2,CANO_biomass_2,Biomass,CANO,Waste_biomass,2023,626.1453381859197,2525244.1489038155,0.0,212.10000000000002,0.0,33346362.0,57.28958432052168,0.3369999999999999,,
CANO_ca_natural_gas_fired_combined_cycle_1,CANO_ca_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,CANO,Naturalgas,2023,4117.153271777801,18737164.539860774,1884402.7723321728,3112.8,0.0,51336297.6,17.01988182470623,0.1509875837400336,,
CANO_ca_natural_gas_fired_combined_cycle_2,CANO_ca_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,CANO,Naturalgas,2023,39962.032821085435,143783394.0902654,15731139.73877052,8296.900000000001,0.0,86510631.32779999,5.762820586458099,0.5498283567968041,,
CANO_ca_natural_gas_fired_combustion_turbine_1,CANO_ca_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,2023,0.0,0.0,0.0,2248.7,0.0,22426858.518499997,0.0,0.0,,
